epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_auc
1,0.653,0.53,0.6536,0.7173,0.8174
2,0.575,0.4942,0.7039,0.7423,0.8389
3,0.5431,0.488,0.728,0.7467,0.8474
4,0.5109,0.4859,0.7449,0.7562,0.8537
5,0.4933,0.469,0.7528,0.7621,0.8629
6,0.4878,0.4652,0.7634,0.7621,0.8621
7,0.4629,0.4687,0.7643,0.7651,0.8645
8,0.4512,0.4747,0.7816,0.7548,0.864
9,0.4404,0.4606,0.7805,0.7555,0.8732
10,0.4259,0.4457,0.7944,0.7533,0.8781
11,0.4139,0.4615,0.795,0.7628,0.8734
12,0.4048,0.4554,0.8082,0.7717,0.8801
13,0.3789,0.4704,0.8175,0.7643,0.8806
14,0.3807,0.4594,0.8139,0.7665,0.878
15,0.3809,0.4687,0.8278,0.7841,0.8854
16,0.3571,0.4888,0.8298,0.7783,0.8835
17,0.3575,0.4565,0.8346,0.793,0.8835
18,0.3419,0.45,0.8392,0.7915,0.8897
19,0.3474,0.4802,0.8434,0.7885,0.888
20,0.3325,0.4819,0.8482,0.7974,0.8883
21,0.3122,0.5192,0.8554,0.7709,0.8867
22,0.3013,0.5144,0.8588,0.7856,0.8816
23,0.2993,0.5059,0.8633,0.7937,0.8906
24,0.3006,0.5023,0.8669,0.7959,0.8933
25,0.3018,0.4909,0.8724,0.8076,0.8965
26,0.2785,0.5221,0.8728,0.7768,0.8905
27,0.272,0.5009,0.8774,0.7988,0.8959
28,0.2673,0.5034,0.8787,0.7922,0.8919
29,0.2566,0.5714,0.8855,0.7834,0.8936
30,0.2518,0.5522,0.8968,0.8054,0.8974
31,0.2362,0.5419,0.8946,0.8018,0.8939
32,0.2398,0.6298,0.8998,0.7827,0.8938
33,0.2269,0.602,0.8981,0.7849,0.8937
34,0.2128,0.6277,0.908,0.7775,0.8946
35,0.2287,0.5762,0.9057,0.7944,0.8939
36,0.2185,0.576,0.906,0.7959,0.8949
37,0.198,0.6091,0.9126,0.7959,0.8991
38,0.2068,0.68,0.913,0.7937,0.8981
39,0.1915,0.6291,0.9211,0.7944,0.8954
40,0.1831,0.6511,0.9225,0.793,0.8936
41,0.1831,0.6913,0.922,0.79,0.8956
42,0.1742,0.7013,0.9253,0.7709,0.8891
43,0.1742,0.7471,0.9236,0.7841,0.8937
44,0.1644,0.706,0.9352,0.7937,0.8946
45,0.164,0.6936,0.9348,0.7952,0.8899
46,0.1433,0.704,0.9424,0.7885,0.8874
47,0.1612,0.7258,0.9341,0.7959,0.8897
48,0.1511,0.7464,0.9359,0.7871,0.8932
49,0.1495,0.7834,0.9365,0.7959,0.8946
50,0.1233,0.7236,0.9525,0.7996,0.8971
51,0.1392,0.7764,0.9451,0.8003,0.894
52,0.1484,0.7568,0.9462,0.8003,0.8944
53,0.1224,0.7702,0.9464,0.7841,0.892
54,0.1204,0.7437,0.9501,0.7915,0.8942
55,0.1151,0.7787,0.9504,0.79,0.8923
56,0.1216,0.7954,0.9521,0.7834,0.8924
57,0.1304,0.8434,0.955,0.7944,0.8929
