ID,Original_Prob,Most_Important_Nodes_20p,Most_Important_Scores_20p,Prob_After_Masking_Most_Important_20p,Drop_Most_Important_20p,Least_Important_Nodes_20p,Least_Important_Scores_20p,Prob_After_Masking_Least_Important_20p,Drop_Least_Important_20p
dbAMP_32240,0.9873,18 20 4 19 6 5,0.7899 0.8442 0.8501 0.9178 0.9851 1.0000,0.7082,0.2791,28 27 29 26 30 31,0.0537 0.0780 0.1006 0.1246 0.2067 0.3012,0.9232,0.0641
HIP699,0.9096,12 3 18 2,0.8604 0.8654 0.9390 1.0000,0.6736,0.2361,9 5 11 7,0.0098 0.0920 0.1347 0.1580,0.6900,0.2197
DRAVPe01672,0.9822,18 8 9,0.8115 0.8412 1.0000,0.7019,0.2803,2 1 3,0.0000 0.0219 0.0274,0.9613,0.0209
40835,0.9890,14 25 15 17 16,0.2710 0.2852 0.6541 0.7333 1.0000,0.6500,0.3390,12 11 10 13 5,0.0015 0.0190 0.0234 0.0256 0.0281,0.8075,0.1815
HIP829,0.9896,2 8 13 12 14 9 1,0.7096 0.7330 0.7899 0.8143 0.8870 0.9932 1.0000,0.7549,0.2347,35 4 29 30 28 36 6,0.0238 0.0416 0.0550 0.0755 0.0843 0.1085 0.1206,0.9373,0.0523
40901,0.9895,19 18 2 1,0.6164 0.6660 0.7666 1.0000,0.5569,0.4325,8 13 9 12,0.0153 0.0301 0.0428 0.0537,0.7825,0.2070
HIP719,0.9638,11 6 10 5,0.8045 0.8523 0.8823 1.0000,0.4148,0.5490,20 16 19 3,0.0000 0.0295 0.1029 0.1544,0.7284,0.2354
14141,0.9819,3 21 5 6 4,0.7238 0.8470 0.9252 0.9515 1.0000,0.8227,0.1591,15 13 14 16 12,0.0000 0.0000 0.0000 0.0230 0.0789,0.9546,0.0272
DRAVPe01687,0.9872,7 9 8,0.7697 0.8113 1.0000,0.5650,0.4222,16 14 6,0.1007 0.1124 0.1262,0.5962,0.3910
CAMPSQ2478,0.9576,9 21 25 5 7 6,0.7121 0.7219 0.7617 0.9841 0.9847 1.0000,0.7939,0.1638,14 15 13 18 12 16,0.0000 0.0000 0.0029 0.1268 0.1528 0.1541,0.9235,0.0342
