Sequence_Name,Label,Probability
ID=sp|B8HSK6||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.045
ID=41101|Label=1|Type=AVP|Source=Peptipedia|Length=18|Dataset=TS_AVP,AVP,0.845
ID=sp|P59851||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.765
ID=sp|A0A023UA23||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P0C7S8||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.430
ID=sp|P80669||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.865
ID=sp|P80740||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|P29893||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|C0HLL7||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.020
ID=dbAMP_31526|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=18|Dataset=TS_AVP,AVP,0.585
ID=DRAVPe00237|Label=1|Type=AVP|Source=DRAVP|Length=36|Dataset=TS_AVP,AVP,1.000
ID=DRAVPe00727|Label=1|Type=AVP|Source=DRAVP|Length=33|Dataset=TS_AVP,AVP,0.945
ID=dbAMP_32240|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=33|Dataset=TS_AVP,AVP,1.000
ID=sp|Q73FB2||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.010
ID=DRAVPe00720|Label=1|Type=AVP|Source=DRAVP|Length=7|Dataset=TS_AVP,AVP,0.910
ID=sp|P51389||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|A0A023IWM4||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.120
ID=sp|P21403||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.025
ID=dbAMP_32576|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=9|Dataset=TS_AVP,AVP,0.895
ID=CAMPSQ21519|Label=1|Type=AVP|Source=CAMP|Length=29|Dataset=TS_AVP,AVP,1.000
ID=sp|P49527||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.120
ID=sp|Q2EES6||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P24742||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,AVP,0.570
ID=sp|P0DJM9||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.350
ID=sp|P60261||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.160
ID=CAMPSQ14394|Label=1|Type=AVP|Source=CAMP|Length=9|Dataset=TS_AVP,AVP,0.605
ID=sp|P83259||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.975
ID=44002|Label=1|Type=AVP|Source=Peptipedia|Length=18|Dataset=TS_AVP,AVP,0.570
ID=sp|P82038||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.620
ID=sp|P83713||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.205
ID=sp|P84598||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.915
ID=sp|Q46JZ3||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|C1P5Z9||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P0C578||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.200
ID=sp|P83745||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.955
ID=sp|P0DQM5||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HJI0||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.990
ID=sp|P0DUT1||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|Q06FW7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DJF0||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.345
ID=sp|P31031||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.390
ID=sp|A8AFM8||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P86524||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.255
ID=sp|P0C0N0||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q20EY3||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q0P3P9||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q09198||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.965
ID=DRAVPe00536|Label=1|Type=AVP|Source=DRAVP|Length=20|Dataset=TS_AVP,AVP,1.000
ID=HIP704|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.950
ID=sp|C0HKA7||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P82661||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.655
ID=sp|P0DUR4||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P12797||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.890
ID=sp|C0HKL8||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0C2L7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.885
ID=DRAVPe01908|Label=1|Type=AVP|Source=DRAVP|Length=10|Dataset=TS_AVP,AVP,0.640
ID=sp|P0DQO0||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.755
ID=sp|Q2GH25||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P12239||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P85015||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.855
ID=sp|B8HVD9||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.170
ID=HIP699|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.935
ID=sp|Q8WNZ3||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,AVP,0.880
ID=sp|P80621||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.205
ID=sp|A5IXZ0||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|P19343||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.255
ID=sp|P01535||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.805
ID=sp|P29186||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P41599||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P84521||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,non-AVP,0.210
ID=sp|Q8TRT3||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|D6C4J4||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.365
ID=DRAVPe01672|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.995
ID=sp|Q9PRQ9||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|A6V1J0||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q09MB5||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|C0HJG5||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q70XV4||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|O46227||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.225
ID=sp|Q9ZB91||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.080
ID=40835|Label=1|Type=AVP|Source=Peptipedia|Length=25|Dataset=TS_AVP,AVP,0.875
ID=sp|P0C234||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.360
ID=sp|P0DTV7||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P0DSG7||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.145
ID=sp|Q8S8W1||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.005
ID=DRAMP00060|Label=1|Type=AVP|Source=DRAMP|Length=19|Dataset=TS_AVP,AVP,0.995
ID=sp|P85458||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.310
ID=sp|P15524||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|C0HLC3||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,1.000
ID=sp|C0HM25||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.125
ID=sp|P80828||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.205
ID=DRAVPe01141|Label=1|Type=AVP|Source=DRAVP|Length=15|Dataset=TS_AVP,AVP,0.810
ID=sp|P30784||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.300
ID=sp|A0A1B0GQX2||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.060
ID=dbAMP_25745|Label=1|Type=AVP|Source=dbAMP_AntiHIV|Length=30|Dataset=TS_AVP,AVP,1.000
ID=sp|P0DTM2||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0DUW9||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.750
ID=sp|Q9TKW5||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q2MI74||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|P82877||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,1.000
ID=DRAVPe01568|Label=1|Type=AVP|Source=DRAVP|Length=15|Dataset=TS_AVP,AVP,0.940
ID=sp|Q0ABF4||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P85445||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.875
ID=sp|A2C6G3||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.040
ID=41884|Label=1|Type=AVP|Source=Peptipedia|Length=7|Dataset=TS_AVP,AVP,1.000
ID=sp|P85681||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.650
ID=DRAVPe01669|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.940
ID=sp|P58623||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,0.900
ID=sp|P84661||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.570
ID=sp|P82904||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,1.000
ID=19770|Label=1|Type=AVP|Source=DBAASP|Length=45|Dataset=TS_AVP,AVP,0.950
ID=sp|O80295||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|P19863||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|P52861||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,AVP,0.570
ID=sp|P22920||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|A0A023PXH5||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.225
ID=sp|P10801||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|Q31AA8||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|Q70XY6||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q3E781||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P01207||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,0.500
ID=sp|P56619||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.285
ID=sp|P0DSE3||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.235
ID=sp|P0DQY2||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.375
ID=sp|P13724||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.495
ID=sp|Q8DL94||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P22689||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.475
ID=sp|A1VES0||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P0CY02||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.045
ID=HIP867|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|A8FJG4||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P11149||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.225
ID=DRAVPe01800|Label=1|Type=AVP|Source=DRAVP|Length=21|Dataset=TS_AVP,AVP,0.740
ID=sp|Q8WI22||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.035
ID=28585|Label=1|Type=AVP|Source=Peptipedia|Length=17|Dataset=TS_AVP,non-AVP,0.435
ID=DRAVPe00167|Label=1|Type=AVP|Source=DRAVP|Length=17|Dataset=TS_AVP,AVP,0.970
ID=sp|B0U3S9||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.005
ID=dbAMP_12405|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=7|Dataset=TS_AVP,AVP,0.560
ID=sp|P85080||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,AVP,0.520
ID=sp|A1JT83||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|A6MM64||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.000
ID=DRAVPe00091|Label=1|Type=AVP|Source=DRAVP|Length=29|Dataset=TS_AVP,AVP,0.690
ID=sp|P83073||Label=0|Type=non_AVP|Source=UniProt|Length=5|Dataset=TS_non_AVP,non-AVP,0.280
ID=40915|Label=1|Type=AVP|Source=Peptipedia|Length=16|Dataset=TS_AVP,AVP,1.000
ID=DRAVPe01789|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,non-AVP,0.330
ID=sp|P01517||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,0.860
ID=sp|Q7U571||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P0DUR1||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.745
ID=sp|C0HKJ5||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q8TGT3||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.140
